epoch_offset,date_utc,active_A_queues_only,active_B_all_pending,entry_q_B,exit_q_B,pending_B
0,2026-02-17,966561,966561,1,0,52236
225,2026-02-18,966562,968361,0,0,50437
450,2026-02-19,966562,970161,0,0,48637
675,2026-02-20,966562,971961,0,0,46837
900,2026-02-21,966562,973761,0,0,45037
1125,2026-02-22,966562,975561,0,0,43237
1350,2026-02-23,966562,977361,0,0,41437
1575,2026-02-24,966562,979161,0,0,39637
1800,2026-02-25,966562,980961,0,0,37837
2025,2026-02-26,966562,982761,0,0,36037
2250,2026-02-27,966562,984561,0,0,34237
2475,2026-02-28,966562,986361,0,0,32437
2700,2026-03-01,966562,988161,0,0,30637
2925,2026-03-02,966562,989961,0,0,28837
3150,2026-03-03,966562,991761,0,0,27037
3375,2026-03-04,966562,993561,0,0,25237
3600,2026-03-05,966562,995361,0,0,23437
3825,2026-03-06,966562,997161,0,0,21637
4050,2026-03-07,966562,998961,0,0,19837
4275,2026-03-08,966562,1000761,0,0,18037
4500,2026-03-09,966562,1002561,0,0,16237
4725,2026-03-10,966562,1004361,0,0,14437
4950,2026-03-11,966562,1006161,0,0,12637
5175,2026-03-12,966562,1007961,0,0,10837
5400,2026-03-13,966562,1009761,0,0,9037
5625,2026-03-14,966562,1011561,0,0,7237
5850,2026-03-15,966562,1013361,0,0,5437
6075,2026-03-16,966562,1015161,0,0,3637
6300,2026-03-17,966562,1016961,0,0,1837
6525,2026-03-18,966562,1018761,0,0,37
6530,2026-03-18,966562,1018798,0,0,0
