attestationscount,attesterslashingscount,averagevalidatorbalance,blockscount,depositscount,eligibleether,epoch,finalized,globalparticipationrate,missedblocks,orphanedblocks,proposedblocks,proposerslashingscount,rewards_exported,scheduledblocks,totalvalidatorbalance,ts,validatorscount,voluntaryexitscount,votedether,withdrawalcount
0,0,32059334620,0,0,33120581000000000,297874,False,0,0,0,32,0,False,0,33182373111820990,2024-07-17T09:13:59Z,1035030,0,0,0
3189,0,32059334105,32,0,33120645000000000,297873,False,0.9656625986099243,0,0,32,0,False,0,33182436697759577,2024-07-17T09:07:35Z,1035032,0,31983368000000000,512
3571,0,32059334549,32,0,33120389000000000,297872,False,0.9654873609542847,0,0,32,0,False,0,33182180683109503,2024-07-17T09:01:11Z,1035024,1,31977318000000000,512
3152,0,32059334392,32,0,33120229000000000,297871,True,0.9970240592956543,0,0,32,0,True,0,33182020223491694,2024-07-17T08:54:47Z,1035019,0,33021665000000000,512
3424,0,32059333983,32,0,33119973000000000,297870,True,0.9969351887702942,0,0,32,0,True,0,33181763325937389,2024-07-17T08:48:23Z,1035011,1,33018465000000000,512
3609,0,32059333317,31,0,33119717000000000,297869,True,0.9968723654747009,1,0,31,0,True,0,33181506161155421,2024-07-17T08:41:59Z,1035003,10,33016130000000000,496
3399,0,32059333859,32,0,33119461000000000,297868,True,0.9969205856323242,0,0,32,0,True,0,33181250247999619,2024-07-17T08:35:35Z,1034995,0,33017473000000000,512
3686,0,32059334821,32,0,33119205000000000,297867,True,0.9968336224555969,0,0,32,0,True,0,33180994768497323,2024-07-17T08:29:11Z,1034987,3,33014337000000000,512
3667,0,32059335166,32,0,33118949000000000,297866,True,0.9969698786735535,0,0,32,0,True,0,33180738650992253,2024-07-17T08:22:47Z,1034979,0,33018594000000000,512
3371,0,32059335897,32,0,33118693000000000,297865,True,0.9972084760665894,0,0,32,0,True,0,33180482933399903,2024-07-17T08:16:23Z,1034971,0,33026241000000000,512
3613,0,32059343146,32,0,33118469000000000,297864,True,0.9949785470962524,0,0,32,0,True,0,33180266020606146,2024-07-17T08:09:59Z,1034964,0,32952165000000000,512
3538,0,32059347684,32,0,33118277000000000,297863,True,0.996862530708313,0,0,32,0,True,0,33180078360780912,2024-07-17T08:03:35Z,1034958,0,33014369000000000,512
3696,0,32059347959,32,0,33118021000000000,297862,True,0.9967687726020813,0,0,32,0,True,0,33179822171007451,2024-07-17T07:57:11Z,1034950,0,33011009000000000,512
3346,0,32059348181,32,0,33117797000000000,297861,True,0.9971214532852173,0,0,32,0,True,0,33179597984954675,2024-07-17T07:50:47Z,1034943,0,33022465000000000,512
3673,0,32059349048,32,0,33117541000000000,297860,True,0.9963918924331665,0,0,32,0,True,0,33179342407750104,2024-07-17T07:44:23Z,1034935,1,32998049000000000,512
3891,0,32059349276,32,0,33117285000000000,297859,True,0.9853793382644653,0,0,32,0,True,0,33179086169091819,2024-07-17T07:37:59Z,1034927,2,32633089000000000,512
3120,0,32059349278,32,0,33117029000000000,297858,True,0.9970324635505676,0,0,32,0,True,0,33178829696449777,2024-07-17T07:31:35Z,1034919,0,33018753000000000,512
3518,0,32059349753,32,0,33116773000000000,297857,True,0.984289288520813,0,0,32,0,True,0,33178573712962392,2024-07-17T07:25:11Z,1034911,1,32596484000000000,512
3795,0,32059349960,32,0,33116517000000000,297856,True,0.9872587323188782,0,0,32,0,True,0,33178317451930185,2024-07-17T07:18:47Z,1034903,0,32694570000000000,512
3697,0,32059350340,32,0,33116261000000000,297855,True,0.9967975616455078,0,0,32,0,True,0,33178061370993708,2024-07-17T07:12:23Z,1034895,0,33010209000000000,512
3615,0,32059352066,31,0,33116005000000000,297854,True,0.9965607523918152,1,0,31,0,True,0,33177806682103517,2024-07-17T07:05:59Z,1034887,0,33002113000000000,496
3620,0,32059352754,32,0,33115749000000000,297853,True,0.996981143951416,0,0,32,0,True,0,33177550919383856,2024-07-17T06:59:35Z,1034879,0,33015777000000000,512
3675,0,32059353465,32,0,33115493000000000,297852,True,0.9968284368515015,0,0,32,0,True,0,33177295180335983,2024-07-17T06:53:11Z,1034871,0,33010465000000000,512
3399,0,32059353711,32,0,33115237000000000,297851,True,0.9967713952064514,0,0,32,0,True,0,33177038959558366,2024-07-17T06:46:47Z,1034863,0,33008321000000000,512
